transport_type,daily_distance_km,travel_days_per_week,electricity_kwh_month,diet_type,food_waste_frequency,waste_kg_week,recycling_frequency,flights_per_year,total_carbon_tonnes
Car,14.0,7,185.0,Non-Vegetarian,Sometimes,9.0,Sometimes,1-2,4.2873
Bicycle,2.3,5,122.0,Non-Vegetarian,Sometimes,18.7,Often,0,2.6029
Train,23.8,3,90.0,Non-Vegetarian,Sometimes,18.7,Often,3-5,3.2693
Electric Vehicle,57.8,7,591.0,Mixed,Sometimes,13.7,Sometimes,6+,8.2233
Car,70.9,5,113.0,Vegetarian,Sometimes,6.2,Often,3-5,6.0346
Car,41.6,3,101.0,Non-Vegetarian,Sometimes,1.1,Often,1-2,4.0432
Car,60.6,7,438.0,Non-Vegetarian,Rarely,19.0,Often,0,8.9068
Bus,18.9,3,220.0,Mixed,Often,17.4,Often,0,3.362
Car,12.7,7,536.0,Non-Vegetarian,Sometimes,3.9,Often,3-5,7.0248
Electric Vehicle,6.9,5,480.0,Non-Vegetarian,Sometimes,15.0,Sometimes,0,4.7581
Bicycle,3.4,2,522.0,Non-Vegetarian,Often,9.7,Sometimes,3-5,5.9636
Car,29.6,3,582.0,Non-Vegetarian,Sometimes,8.6,Often,1-2,6.3337
Electric Vehicle,13.7,5,148.0,Mixed,Sometimes,3.1,Sometimes,3-5,3.0592
Bus,17.3,7,155.0,Vegan,Sometimes,10.9,Often,1-2,2.6423
Electric Vehicle,60.3,4,250.0,Vegetarian,Sometimes,7.3,Sometimes,3-5,3.8511
Car,35.6,6,433.0,Non-Vegetarian,Rarely,13.6,Sometimes,3-5,6.8494
Car,47.7,6,351.0,Vegan,Sometimes,9.2,Sometimes,1-2,5.5771
Car,40.5,4,412.0,Non-Vegetarian,Sometimes,12.8,Never,6+,8.0929
Car,28.3,4,131.0,Vegan,Often,12.6,Often,1-2,3.1595
Bicycle,3.4,5,184.0,Non-Vegetarian,Rarely,15.3,Often,0,2.6584
Motorcycle,18.2,7,306.0,Non-Vegetarian,Often,3.3,Never,1-2,4.5631
Car,61.6,6,387.0,Mixed,Sometimes,16.8,Sometimes,3-5,8.1707
Bicycle,4.1,4,463.0,Mixed,Sometimes,15.8,Sometimes,0,3.9351
Car,30.2,7,94.0,Vegetarian,Sometimes,3.9,Sometimes,1-2,3.9854
Car,39.9,3,164.0,Non-Vegetarian,Often,12.1,Often,3-5,5.1015
Car,31.4,6,519.0,Mixed,Sometimes,15.2,Sometimes,1-2,6.3602
Car,21.5,6,317.0,Non-Vegetarian,Sometimes,16.2,Often,3-5,6.463
Bus,36.6,7,360.0,Vegan,Sometimes,3.6,Sometimes,0,3.7413
Motorcycle,20.9,5,236.0,Mixed,Sometimes,19.1,Sometimes,3-5,4.0237
Car,76.4,4,408.0,Mixed,Sometimes,15.3,Often,0,6.9816
Car,16.4,4,310.0,Vegetarian,Often,9.8,Sometimes,0,3.3189
Bicycle,6.3,3,581.0,Vegetarian,Rarely,6.9,Often,6+,5.7176
Motorcycle,58.6,3,376.0,Mixed,Sometimes,14.2,Sometimes,1-2,5.1556
Bus,4.5,7,286.0,Non-Vegetarian,Sometimes,7.5,Often,3-5,3.9731
Car,77.1,6,439.0,Non-Vegetarian,Sometimes,19.3,Sometimes,3-5,9.3919
Bus,30.0,5,227.0,Non-Vegetarian,Often,6.3,Sometimes,3-5,4.8956
Bus,27.7,5,66.0,Mixed,Rarely,5.0,Often,0,2.4409
Car,5.8,4,97.0,Mixed,Sometimes,15.4,Often,1-2,2.4001
Bus,32.3,3,212.0,Non-Vegetarian,Sometimes,13.6,Sometimes,1-2,3.5456
Bus,16.0,6,199.0,Non-Vegetarian,Rarely,4.7,Never,1-2,4.0146
Walking,1.9,3,456.0,Non-Vegetarian,Sometimes,15.4,Sometimes,6+,6.7367
Motorcycle,27.7,7,120.0,Vegan,Rarely,6.6,Often,1-2,2.601
Bicycle,1.3,2,366.0,Non-Vegetarian,Sometimes,4.5,Never,6+,5.3601
Motorcycle,10.6,3,133.0,Mixed,Often,2.6,Sometimes,1-2,2.8421
Motorcycle,49.7,7,174.0,Non-Vegetarian,Sometimes,9.4,Often,6+,6.6954
Train,30.4,4,394.0,Non-Vegetarian,Rarely,5.6,Sometimes,0,4.3752
Motorcycle,56.7,6,210.0,Non-Vegetarian,Sometimes,14.4,Sometimes,1-2,5.851
Train,27.5,4,284.0,Non-Vegetarian,Sometimes,18.3,Often,0,3.6047
Car,28.1,7,557.0,Non-Vegetarian,Sometimes,6.8,Sometimes,0,6.6091
Train,35.9,5,382.0,Vegan,Sometimes,13.8,Often,1-2,3.4864
Car,62.4,5,367.0,Mixed,Rarely,10.9,Sometimes,0,6.942
Electric Vehicle,77.7,6,241.0,Non-Vegetarian,Sometimes,17.3,Sometimes,1-2,4.9408
Car,75.9,7,70.0,Vegetarian,Sometimes,3.2,Often,3-5,7.4031
Electric Vehicle,39.6,3,153.0,Non-Vegetarian,Often,12.9,Often,0,3.3999
Bus,37.3,6,534.0,Non-Vegetarian,Rarely,13.0,Often,3-5,6.6011
Motorcycle,21.9,3,304.0,Vegetarian,Often,10.5,Often,1-2,3.613
Car,67.6,6,184.0,Non-Vegetarian,Sometimes,18.5,Sometimes,3-5,8.1179
Walking,3.6,6,197.0,Vegan,Sometimes,16.9,Sometimes,1-2,2.2326
Electric Vehicle,38.5,6,240.0,Non-Vegetarian,Sometimes,9.7,Sometimes,0,3.8117
Car,63.2,3,225.0,Non-Vegetarian,Often,8.2,Often,3-5,5.698
Train,8.6,3,119.0,Mixed,Sometimes,2.9,Often,0,2.0783
Car,70.3,4,91.0,Mixed,Sometimes,12.8,Sometimes,0,4.8529
Car,55.6,7,259.0,Non-Vegetarian,Sometimes,15.4,Often,0,7.7285
Electric Vehicle,79.8,3,289.0,Vegetarian,Sometimes,17.6,Sometimes,1-2,3.9122
Electric Vehicle,8.4,3,211.0,Non-Vegetarian,Rarely,11.1,Sometimes,3-5,3.8054
Electric Vehicle,51.5,4,324.0,Non-Vegetarian,Sometimes,13.1,Sometimes,1-2,4.7021
Electric Vehicle,39.9,5,423.0,Vegetarian,Sometimes,7.6,Sometimes,1-2,4.1155
Electric Vehicle,19.9,6,519.0,Vegetarian,Sometimes,7.8,Sometimes,1-2,4.6692
Car,67.3,6,201.0,Non-Vegetarian,Sometimes,15.1,Never,1-2,6.7057
Car,64.9,7,491.0,Non-Vegetarian,Rarely,5.8,Often,3-5,9.7114
Bicycle,1.5,2,547.0,Non-Vegetarian,Sometimes,9.4,Sometimes,3-5,5.9541
Bicycle,1.8,3,483.0,Mixed,Sometimes,10.5,Sometimes,0,4.3533
Electric Vehicle,75.8,5,461.0,Non-Vegetarian,Rarely,19.3,Never,6+,8.0985
Electric Vehicle,77.5,7,251.0,Mixed,Rarely,11.2,Sometimes,1-2,4.2822
Train,24.6,5,110.0,Non-Vegetarian,Rarely,17.8,Sometimes,6+,4.7433
Electric Vehicle,73.2,5,407.0,Vegetarian,Rarely,1.7,Often,0,4.2347
Car,45.3,6,300.0,Non-Vegetarian,Sometimes,19.0,Sometimes,3-5,7.4559
Car,41.7,6,566.0,Non-Vegetarian,Sometimes,5.1,Sometimes,0,7.8451
Motorcycle,78.6,5,349.0,Mixed,Sometimes,8.6,Never,0,6.0074
Train,26.7,7,584.0,Vegetarian,Sometimes,19.8,Often,0,4.6095
Electric Vehicle,46.6,7,169.0,Mixed,Sometimes,3.8,Often,0,3.2682
Car,23.8,4,110.0,Mixed,Rarely,7.8,Often,1-2,3.0316
Car,24.9,4,458.0,Non-Vegetarian,Sometimes,10.0,Often,1-2,5.9456
Electric Vehicle,8.3,7,216.0,Non-Vegetarian,Rarely,20.0,Often,1-2,3.5598
Car,58.4,6,90.0,Vegetarian,Sometimes,2.2,Sometimes,1-2,4.9841
Electric Vehicle,44.8,6,328.0,Non-Vegetarian,Often,3.2,Often,3-5,5.3698
Bus,35.0,6,298.0,Non-Vegetarian,Sometimes,9.6,Sometimes,0,4.3372
Motorcycle,16.4,6,87.0,Mixed,Rarely,2.8,Often,3-5,3.13
Bus,24.7,7,359.0,Non-Vegetarian,Sometimes,17.6,Often,1-2,5.1687
Car,28.4,3,368.0,Non-Vegetarian,Sometimes,5.3,Never,3-5,5.4906
Motorcycle,62.2,7,174.0,Non-Vegetarian,Sometimes,15.6,Often,1-2,5.3368
Train,28.7,3,149.0,Mixed,Sometimes,7.5,Never,3-5,3.1733
Bus,17.8,4,458.0,Mixed,Rarely,11.1,Sometimes,1-2,4.7156
Car,75.6,7,97.0,Vegetarian,Rarely,12.7,Often,0,7.0574
Train,21.0,6,278.0,Non-Vegetarian,Sometimes,7.6,Never,1-2,3.7595
Car,21.5,7,80.0,Non-Vegetarian,Often,15.6,Often,0,4.0594
Car,42.3,6,147.0,Non-Vegetarian,Sometimes,10.5,Often,3-5,6.4912
Car,6.4,3,524.0,Non-Vegetarian,Sometimes,14.5,Sometimes,0,5.3858
Car,29.4,7,303.0,Non-Vegetarian,Sometimes,9.3,Never,1-2,5.8756
Electric Vehicle,60.9,4,233.0,Vegetarian,Sometimes,3.2,Sometimes,6+,5.0207
Car,59.6,4,180.0,Vegetarian,Rarely,12.4,Often,1-2,4.8034
Bus,30.9,7,297.0,Mixed,Sometimes,13.1,Often,3-5,5.3906
Train,8.6,3,308.0,Non-Vegetarian,Often,12.2,Sometimes,0,4.0256
Motorcycle,26.5,3,388.0,Non-Vegetarian,Sometimes,11.5,Often,3-5,5.2956
Bus,33.0,4,227.0,Non-Vegetarian,Rarely,2.2,Never,3-5,4.1085
Bus,9.4,4,439.0,Mixed,Sometimes,12.6,Sometimes,6+,6.6487
Motorcycle,63.1,7,79.0,Non-Vegetarian,Sometimes,7.3,Sometimes,0,4.8821
Electric Vehicle,50.2,4,233.0,Non-Vegetarian,Rarely,7.6,Often,1-2,4.1275
Motorcycle,49.6,3,220.0,Non-Vegetarian,Often,16.5,Often,3-5,5.1053
Bus,26.9,6,330.0,Vegan,Sometimes,19.1,Sometimes,3-5,4.0825
Car,80.0,4,92.0,Mixed,Rarely,15.6,Often,3-5,6.0994
Walking,1.5,5,135.0,Vegetarian,Sometimes,12.9,Often,3-5,2.6147
Car,32.3,4,583.0,Non-Vegetarian,Often,15.9,Sometimes,0,7.5588
Electric Vehicle,19.6,7,591.0,Non-Vegetarian,Sometimes,8.3,Sometimes,6+,7.4658
Electric Vehicle,65.1,4,530.0,Vegetarian,Sometimes,8.1,Often,3-5,5.3529
Car,17.0,6,548.0,Vegetarian,Sometimes,19.0,Sometimes,1-2,5.6479
Car,7.0,3,268.0,Non-Vegetarian,Sometimes,2.6,Sometimes,0,3.7124
Car,16.0,3,208.0,Mixed,Sometimes,3.6,Often,1-2,3.4122
Car,10.9,5,169.0,Vegetarian,Often,12.6,Sometimes,3-5,3.5902
Car,52.9,7,301.0,Vegetarian,Often,12.3,Never,1-2,7.2421
Car,15.8,6,51.0,Non-Vegetarian,Sometimes,4.6,Often,1-2,2.9896
Bus,32.1,7,355.0,Non-Vegetarian,Sometimes,13.1,Often,0,5.5053
Car,64.1,5,183.0,Non-Vegetarian,Rarely,12.1,Often,0,5.7687
Train,33.7,6,589.0,Non-Vegetarian,Rarely,3.6,Often,6+,7.5678
Car,20.1,4,537.0,Non-Vegetarian,Sometimes,8.6,Often,1-2,6.3416
Car,69.7,3,526.0,Non-Vegetarian,Rarely,8.0,Often,3-5,7.5928
Electric Vehicle,34.0,4,323.0,Non-Vegetarian,Often,10.9,Often,3-5,5.4551
Electric Vehicle,45.9,5,106.0,Non-Vegetarian,Sometimes,9.5,Often,0,3.1591
Bus,19.5,5,388.0,Non-Vegetarian,Sometimes,16.0,Never,1-2,4.8166
Bicycle,1.7,2,129.0,Non-Vegetarian,Often,1.7,Never,3-5,3.6885
Motorcycle,33.7,7,68.0,Vegetarian,Sometimes,8.0,Sometimes,0,2.9174
Car,25.9,3,64.0,Vegetarian,Sometimes,18.4,Never,3-5,3.388
Bicycle,2.1,6,207.0,Mixed,Sometimes,3.3,Often,1-2,2.8938
Car,56.1,5,417.0,Mixed,Sometimes,6.5,Sometimes,0,6.3911
Bicycle,5.8,3,487.0,Non-Vegetarian,Rarely,4.8,Never,3-5,5.5054
Motorcycle,65.3,7,121.0,Mixed,Rarely,8.6,Often,1-2,4.9587
Motorcycle,35.7,7,91.0,Mixed,Sometimes,9.5,Often,0,3.6244
Train,9.7,4,288.0,Mixed,Rarely,3.4,Never,0,2.7912
Car,58.2,5,571.0,Non-Vegetarian,Sometimes,2.5,Never,6+,9.8186
Train,6.5,4,375.0,Non-Vegetarian,Rarely,12.9,Often,0,4.1512
Electric Vehicle,8.1,3,95.0,Mixed,Often,6.0,Sometimes,1-2,2.5123
Electric Vehicle,45.9,5,316.0,Mixed,Sometimes,6.7,Never,0,3.8751
Bus,20.9,4,237.0,Vegetarian,Often,7.1,Often,0,2.7446
Bus,6.9,4,307.0,Non-Vegetarian,Sometimes,2.8,Sometimes,0,3.8268
Train,12.2,4,497.0,Mixed,Sometimes,4.6,Never,6+,5.7037
Bus,6.3,6,328.0,Mixed,Sometimes,7.7,Never,1-2,3.8916
Electric Vehicle,54.1,6,207.0,Vegan,Rarely,3.5,Sometimes,0,2.6492
Car,47.1,5,354.0,Vegetarian,Sometimes,15.5,Sometimes,6+,7.6371
Bicycle,1.4,2,267.0,Mixed,Sometimes,18.8,Often,0,2.8861
Car,15.3,5,492.0,Non-Vegetarian,Rarely,18.0,Never,6+,7.5407
Car,34.5,7,457.0,Non-Vegetarian,Sometimes,16.7,Sometimes,3-5,7.5712
Motorcycle,55.5,6,371.0,Mixed,Sometimes,14.1,Never,1-2,6.5119
Electric Vehicle,63.7,7,368.0,Mixed,Sometimes,4.2,Often,1-2,5.0067
Bicycle,0.7,7,110.0,Vegan,Sometimes,3.9,Often,1-2,1.4914
Walking,7.4,7,450.0,Mixed,Sometimes,11.7,Often,1-2,3.8848
Bus,22.7,7,245.0,Mixed,Sometimes,13.2,Often,1-2,4.2628
Car,23.5,7,214.0,Mixed,Often,15.7,Often,1-2,4.5982
Bus,37.6,5,208.0,Non-Vegetarian,Sometimes,18.0,Sometimes,0,4.2014
Walking,1.6,2,208.0,Mixed,Sometimes,9.4,Sometimes,1-2,2.9727
Electric Vehicle,57.2,4,110.0,Mixed,Sometimes,2.0,Often,0,2.737
Car,12.5,5,445.0,Vegetarian,Often,1.1,Sometimes,6+,5.6516
Electric Vehicle,40.8,4,466.0,Non-Vegetarian,Sometimes,2.1,Often,1-2,5.4114
Car,60.4,3,552.0,Vegetarian,Often,4.3,Often,6+,7.7139
Electric Vehicle,77.2,5,532.0,Vegan,Sometimes,3.0,Often,0,4.9022
Electric Vehicle,45.7,6,539.0,Vegetarian,Sometimes,6.2,Often,0,4.7675
Bicycle,0.6,4,485.0,Non-Vegetarian,Often,4.3,Often,3-5,5.2077
Electric Vehicle,43.6,3,270.0,Vegetarian,Often,10.1,Often,0,2.9849
Car,29.7,7,448.0,Vegan,Sometimes,14.2,Never,0,5.802
Car,35.4,7,558.0,Mixed,Often,14.1,Often,6+,9.1744
Electric Vehicle,40.9,6,461.0,Non-Vegetarian,Sometimes,11.4,Sometimes,1-2,5.6193
Train,11.1,4,424.0,Non-Vegetarian,Often,11.0,Sometimes,0,4.8527
Electric Vehicle,72.7,4,365.0,Vegetarian,Sometimes,10.9,Never,0,4.016
Train,6.4,7,295.0,Vegetarian,Rarely,8.9,Sometimes,1-2,2.9366
Car,24.1,3,460.0,Non-Vegetarian,Rarely,7.5,Never,6+,6.8004
Electric Vehicle,10.2,6,67.0,Non-Vegetarian,Often,15.6,Often,1-2,2.6237
Motorcycle,70.2,6,257.0,Non-Vegetarian,Sometimes,11.2,Often,0,6.2218
Car,45.3,7,120.0,Mixed,Often,15.4,Often,1-2,5.8007
Motorcycle,22.2,6,240.0,Non-Vegetarian,Often,14.8,Never,3-5,5.051
Motorcycle,62.5,3,182.0,Vegetarian,Sometimes,9.5,Often,3-5,3.9145
Bus,23.0,3,127.0,Mixed,Sometimes,18.4,Sometimes,1-2,3.0255
Walking,6.6,3,216.0,Vegetarian,Sometimes,5.2,Sometimes,0,2.4504
Electric Vehicle,51.9,6,356.0,Vegan,Sometimes,13.2,Sometimes,1-2,3.8641
Bicycle,3.6,4,257.0,Mixed,Sometimes,17.1,Sometimes,3-5,3.9949
Bus,38.8,7,341.0,Non-Vegetarian,Sometimes,7.3,Never,1-2,4.8852
Motorcycle,45.2,4,78.0,Non-Vegetarian,Sometimes,1.8,Never,3-5,3.7492
Car,20.7,5,217.0,Mixed,Sometimes,4.6,Often,3-5,4.2091
Bicycle,7.4,7,382.0,Non-Vegetarian,Often,11.5,Often,0,4.1655
Car,43.5,6,306.0,Mixed,Sometimes,15.5,Sometimes,0,5.8934
Car,8.4,4,458.0,Vegan,Sometimes,12.1,Often,0,3.7478
Bus,12.1,7,410.0,Non-Vegetarian,Sometimes,16.6,Often,1-2,5.0981
Bus,9.2,5,143.0,Mixed,Sometimes,18.4,Sometimes,1-2,2.9921
Electric Vehicle,75.9,3,470.0,Non-Vegetarian,Often,5.4,Often,0,5.4423
Bus,16.8,7,401.0,Mixed,Often,13.5,Never,1-2,5.0006
Bicycle,4.5,4,59.0,Mixed,Sometimes,16.3,Often,0,1.8572
Car,16.2,4,391.0,Non-Vegetarian,Sometimes,16.1,Never,6+,6.7418
Bicycle,2.7,2,410.0,Mixed,Often,2.8,Sometimes,1-2,4.2416
Car,5.7,4,95.0,Mixed,Sometimes,7.3,Often,6+,4.5326
Car,72.6,7,312.0,Vegan,Rarely,18.6,Often,1-2,7.3413
Car,74.7,5,59.0,Non-Vegetarian,Rarely,16.6,Often,6+,7.6578
Bus,34.4,7,232.0,Mixed,Rarely,19.8,Often,1-2,4.473
Electric Vehicle,9.0,6,178.0,Vegetarian,Sometimes,12.7,Sometimes,6+,4.17
Walking,3.9,3,246.0,Mixed,Sometimes,13.9,Often,0,3.0642
Train,32.5,3,95.0,Vegetarian,Sometimes,13.0,Often,0,1.7951
Car,32.0,5,106.0,Vegetarian,Sometimes,11.6,Sometimes,0,3.3383
Car,46.6,7,379.0,Non-Vegetarian,Sometimes,6.5,Sometimes,0,7.8831
Electric Vehicle,47.9,4,427.0,Vegetarian,Sometimes,6.1,Never,0,3.7665
Car,27.5,3,249.0,Mixed,Sometimes,10.4,Often,1-2,3.9433
Motorcycle,68.1,6,492.0,Non-Vegetarian,Sometimes,16.5,Often,6+,9.1598
Car,29.0,4,313.0,Vegetarian,Sometimes,7.1,Often,1-2,4.5422
Car,26.0,6,251.0,Mixed,Rarely,19.9,Never,3-5,5.3304
Car,59.5,4,291.0,Non-Vegetarian,Sometimes,16.6,Often,1-2,5.7615
Car,54.4,6,484.0,Vegetarian,Often,10.1,Sometimes,1-2,7.5468
Electric Vehicle,56.9,7,70.0,Mixed,Sometimes,16.4,Sometimes,6+,5.2659
Train,9.2,7,74.0,Mixed,Sometimes,8.6,Often,6+,4.0455
Bus,3.4,5,172.0,Mixed,Sometimes,14.1,Sometimes,0,2.4472
Bicycle,1.6,2,316.0,Non-Vegetarian,Often,2.6,Often,3-5,4.7052
Car,30.7,4,337.0,Non-Vegetarian,Rarely,14.7,Sometimes,0,5.3392
Car,30.7,3,422.0,Vegetarian,Often,5.6,Never,0,4.6498
Bus,38.5,4,489.0,Non-Vegetarian,Rarely,13.5,Sometimes,3-5,6.3549
Motorcycle,5.3,4,163.0,Mixed,Often,2.2,Never,3-5,3.2956
Car,29.4,6,113.0,Non-Vegetarian,Sometimes,19.4,Sometimes,0,4.3974
Motorcycle,39.3,4,498.0,Mixed,Sometimes,12.7,Never,0,5.4755
Car,27.9,4,255.0,Vegetarian,Sometimes,12.3,Sometimes,1-2,3.7128
Electric Vehicle,74.8,4,355.0,Non-Vegetarian,Rarely,7.0,Sometimes,0,4.538
Motorcycle,5.7,4,157.0,Non-Vegetarian,Sometimes,13.4,Sometimes,1-2,3.1967
Car,47.4,4,211.0,Non-Vegetarian,Sometimes,4.2,Sometimes,3-5,5.3323
Walking,4.6,2,365.0,Non-Vegetarian,Sometimes,19.8,Sometimes,3-5,4.9333
Car,36.9,4,214.0,Mixed,Sometimes,7.6,Often,1-2,4.1084
Electric Vehicle,63.2,4,165.0,Mixed,Sometimes,17.4,Often,1-2,3.1904
Electric Vehicle,65.4,7,243.0,Non-Vegetarian,Sometimes,7.1,Often,0,4.1797
Car,69.4,3,125.0,Mixed,Sometimes,2.1,Sometimes,1-2,4.347
Car,29.2,4,469.0,Non-Vegetarian,Sometimes,12.0,Sometimes,1-2,5.8701
Bus,26.4,3,272.0,Mixed,Sometimes,17.7,Sometimes,1-2,3.5077
Electric Vehicle,12.0,6,399.0,Non-Vegetarian,Often,16.1,Sometimes,6+,6.4878
Electric Vehicle,42.1,5,506.0,Non-Vegetarian,Sometimes,11.8,Sometimes,0,5.3595
Car,63.8,6,59.0,Mixed,Rarely,9.7,Often,1-2,5.6224
Electric Vehicle,73.2,5,137.0,Mixed,Sometimes,13.4,Sometimes,0,3.4338
Motorcycle,27.9,4,286.0,Vegetarian,Rarely,5.1,Never,1-2,3.4191
Bus,19.5,3,433.0,Mixed,Often,9.0,Never,0,4.2833
Car,28.5,5,125.0,Mixed,Often,3.5,Often,0,3.9438
Bus,3.3,4,292.0,Mixed,Sometimes,3.9,Sometimes,1-2,3.4026
Car,61.4,7,452.0,Non-Vegetarian,Sometimes,16.0,Sometimes,1-2,8.9797
Car,50.1,7,207.0,Mixed,Rarely,17.1,Often,0,5.9199
Motorcycle,53.5,4,322.0,Vegetarian,Sometimes,12.3,Sometimes,6+,6.1073
Electric Vehicle,75.0,4,263.0,Mixed,Sometimes,11.4,Never,1-2,4.2533
Train,3.5,4,72.0,Vegetarian,Often,10.6,Often,1-2,1.9008
Motorcycle,57.6,3,402.0,Non-Vegetarian,Rarely,2.6,Never,6+,7.1024
Car,49.0,3,221.0,Non-Vegetarian,Often,5.5,Sometimes,6+,6.8425
Car,50.9,3,220.0,Mixed,Sometimes,3.3,Often,3-5,5.1819
Bus,32.0,5,142.0,Vegetarian,Often,6.1,Often,3-5,3.8993
Car,65.5,5,338.0,Non-Vegetarian,Often,12.9,Sometimes,1-2,8.4582
Car,16.8,3,542.0,Non-Vegetarian,Rarely,15.1,Never,3-5,6.477
Car,8.4,5,261.0,Vegetarian,Often,17.3,Sometimes,6+,5.3081
Car,36.2,5,199.0,Vegetarian,Sometimes,10.5,Often,0,3.7709
Walking,7.9,5,88.0,Non-Vegetarian,Sometimes,17.1,Sometimes,1-2,2.8782
Bus,14.2,7,183.0,Non-Vegetarian,Often,20.0,Often,3-5,4.6022
Bus,32.5,4,54.0,Non-Vegetarian,Sometimes,7.6,Often,3-5,3.5214
Train,34.4,5,107.0,Non-Vegetarian,Sometimes,10.3,Never,6+,4.8867
Bicycle,1.2,3,544.0,Non-Vegetarian,Sometimes,8.1,Often,0,5.0145
Electric Vehicle,10.6,7,84.0,Non-Vegetarian,Rarely,6.5,Often,6+,4.3628
Motorcycle,67.4,5,225.0,Non-Vegetarian,Rarely,4.9,Often,1-2,5.1921
Bus,18.0,7,247.0,Mixed,Sometimes,9.8,Often,0,3.557
Walking,2.8,7,433.0,Vegan,Often,7.2,Never,0,3.2504
Train,12.6,4,67.0,Non-Vegetarian,Sometimes,15.2,Sometimes,1-2,2.8485
Walking,1.5,2,84.0,Mixed,Sometimes,4.8,Sometimes,1-2,2.1635
Train,36.9,3,62.0,Vegetarian,Often,9.4,Never,6+,3.8482
Electric Vehicle,29.9,3,568.0,Vegetarian,Often,9.2,Often,1-2,4.7417
Motorcycle,73.1,5,204.0,Mixed,Rarely,12.8,Sometimes,0,4.8977
Motorcycle,46.3,3,98.0,Non-Vegetarian,Sometimes,13.2,Often,0,3.4496
Car,33.7,5,314.0,Mixed,Sometimes,11.7,Sometimes,0,4.9887
Car,49.8,3,543.0,Mixed,Rarely,19.8,Sometimes,3-5,7.8238
Car,54.3,5,344.0,Mixed,Sometimes,15.5,Often,1-2,6.4209
Electric Vehicle,34.1,4,147.0,Non-Vegetarian,Often,14.3,Often,0,3.3121
Bus,23.8,4,510.0,Mixed,Often,11.3,Never,0,4.6351
Car,50.1,3,340.0,Vegan,Often,4.8,Never,3-5,5.4569
Car,6.6,7,438.0,Vegetarian,Rarely,11.0,Sometimes,0,3.7948
Bicycle,5.5,6,106.0,Non-Vegetarian,Rarely,4.0,Often,3-5,3.1422
Car,77.7,7,483.0,Non-Vegetarian,Sometimes,4.3,Sometimes,1-2,10.0363
Car,59.7,7,265.0,Mixed,Often,1.6,Often,6+,9.5841
Bus,37.7,4,232.0,Vegetarian,Sometimes,7.1,Often,6+,5.039
Electric Vehicle,55.3,5,296.0,Non-Vegetarian,Sometimes,2.3,Sometimes,0,4.4012
Bicycle,7.8,5,321.0,Non-Vegetarian,Sometimes,2.9,Sometimes,3-5,4.3379
Train,28.4,4,298.0,Mixed,Rarely,1.4,Sometimes,0,2.9257
Car,10.6,3,236.0,Mixed,Often,14.4,Sometimes,1-2,4.0826
Train,19.1,3,106.0,Non-Vegetarian,Rarely,14.2,Often,3-5,3.1607
Car,8.7,7,352.0,Non-Vegetarian,Rarely,1.1,Never,3-5,5.1222
Train,20.8,3,64.0,Vegetarian,Sometimes,2.6,Often,0,1.3468
Train,6.4,7,263.0,Non-Vegetarian,Sometimes,4.5,Never,1-2,3.7745
Car,67.8,7,84.0,Mixed,Sometimes,2.6,Sometimes,1-2,7.2653
